Android-Action-Assassin's Creed: Altair's Chronicles,8
Android-Action-Avatar: The Game,7
Android-Action-Crush the Castle,7
Android-Action-Flappy Bird,5.4
Android-Action-Fruit Ninja,8
Android-Action-Pac+Man: Championship Edition,5
Android-Action-Shark or Die,7
Android-Action-Sonic Dash,6.1
Android-Action-Transformers G1: Awakening,8
Android-"Card, Battle"-Magic: The Gathering ++ Duels of the Planeswalkers 2014,8.1
Android-Puzzle-Drop7,9
Android-Puzzle-Puzzle Craft,9
Android-Puzzle-The Plateau,8
Android-"Puzzle, Action"-Angry Birds Rio,8.5
Android-Racing-Asphalt 5 HD,8
Android-"Racing, Action"-Angry Birds Go!,5
Android-RPG-Zenonia,8
Android-Shooter-Deus Ex: The Fall,8.2
Android-Shooter-N.O.V.A.: Near Orbit Vanguard Alliance,8.5
Android-Simulation-Comedy Central's Indecision Game,7.5
Android-Simulation-Dungeon Village,8
Android-Simulation-Grand Prix Story,8.5
Android-Simulation-World Cruise Story,6
Android-Sports-Backbreaker Football,7.5
Android-Sports-Home Run Battle 3D,8
Android-Sports-I+play Bowling 3D,7.4
Android-Sports-Let's Golf,7.5
Android-Sports-Soccer Superstars,7.5
Android-Sports-Super K.O. Boxing 2,7.5
Android-"Sports, Simulation"-Pocket League Story,7.5
Android-Strategy-Devil's Attorney,8.3
Android-Strategy-Pocket Clothier,6.6
Android-Strategy-UniWar,8
Arcade-Action-Golden Axe,7
Arcade-Action-Mappy,6.5
Arcade-Action-Rygar,6
Arcade-Action-The Tower of Druaga,3
Arcade-Action-Time Traveler,3
Arcade-Fighting-Virtua Fighter 5 Final Showdown,8.5
Arcade-"Fighting, Action"-Altered Beast,4
Arcade-Music-Samba de Amigo,9.4
Arcade-Shooter-Gaplus,4.5
Arcade-Shooter-Space Harrier,8
Arcade-Sports-Tecmo Bowl,6.5
Atari 2600-Action-Demon Attack,7.5
Atari 2600-Action-Jawbreaker,7
Atari 2600-Action-Jawbreaker,7
Atari 2600-Adventure-Ghost Manor,7.5
Atari 2600-Other-King Kong,3.5
Atari 5200-Action-Dreadnaught Factor,8
Atari 5200-Action-Mountain King,8
Commodore 64/128-Action-Necromancer,7
Commodore 64/128-Action-The Last Ninja,7.5
Commodore 64/128-"Action, Adventure"-The Last Ninja 2: Back with a Vengeance,7.5
Commodore 64/128-None-Tower Toppler,6
Commodore 64/128-Racing-Pitstop II,6
Commodore 64/128-Sports-Summer Games II,4.5
Dreamcast-Action-AirForce Delta,8.1
Dreamcast-Action-Alien Front Online,8.5
Dreamcast-Action-Arabian Nights: Prince of Persia,7.1
Dreamcast-Action-Army Men: Sarge's Heroes,5.3
Dreamcast-Action-Bang! Gunship Elite,7
Dreamcast-Action-Blue Stinger,8.4
Dreamcast-Action-Bomberman Online,9
Dreamcast-Action-Buzz Lightyear of Star Command,6.5
Dreamcast-Action-Carrier,8
Dreamcast-Action-Charge'n Blast,7.5
Dreamcast-Action-Chicken Run,7.2
Dreamcast-Action-Death Crimson OX,4.3
Dreamcast-Action-Deep Fighter,8.2
Dreamcast-Action-Dinosaur,5.8
Dreamcast-Action-Draconus: Cult of the Wyrm,6.7
Dreamcast-Action-Dragon Riders ++ Chronicles of Pern,3.6
Dreamcast-Action-Dynamite Cop,4.1
Dreamcast-Action-Ecco the Dolphin: Defender of the Future,7.6
Dreamcast-Action-Expendable,7.3
Dreamcast-Action-Frogger 2: Swampy's Revenge,8.2
Dreamcast-Action-Gauntlet Legends,8.4
Dreamcast-Action-Godzilla Generations Maximum Impact,2.5
Dreamcast-Action-Grand Theft Auto II,6.7
Dreamcast-Action-Gundam Side Story: 0079,7.9
Dreamcast-Action-Headhunter,9
Dreamcast-Action-Hidden &amp; Dangerous,6.2
Dreamcast-Action-Hoyle Casino,8.8
Dreamcast-Action-Incoming,7
Dreamcast-Action-Industrial Spy: Operation Espionage,5
Dreamcast-Action-Iron Aces,7.5
Dreamcast-Action-Jet Coaster Dream,9
Dreamcast-Action-Jet Grind Radio,9.6
Dreamcast-Action-Kao the Kangaroo,6.2
Dreamcast-Action-KISS Psycho Circus: The Nightmare Child,6.2
Dreamcast-Action-Legacy of Kain: Soul Reaver,9.1
Dreamcast-Action-Looney Tunes: Space Race,9
Dreamcast-Action-Macross M3,4
Dreamcast-Action-Maken X,7.9
Dreamcast-Action-Max Steel: Covert Missions,3.7
Dreamcast-Action-MDK2,9.4
Dreamcast-Action-Ms. Pac+Man Maze Madness,7.6
Dreamcast-Action-MTV Sports: Skateboarding Featuring Andy Macdonald,2
Dreamcast-Action-Namco Museum,4
Dreamcast-Action-NHL 2K,8.6
Dreamcast-Action-Nightmare Creatures II,5
Dreamcast-Action-Ooga Booga,9.4
Dreamcast-Action-Outtrigger,8.6
Dreamcast-Action-Q*bert,7
Dreamcast-Action-Red Dog,8.2
Dreamcast-Action-Shadow Man,8.5
Dreamcast-Action-Silver,7.9
Dreamcast-Action-Slave Zero,3.2
Dreamcast-Action-Soldier of Fortune,8.5
Dreamcast-Action-Space Griffon,4
Dreamcast-Action-Spawn: In the Demon's Hand,6.8
Dreamcast-Action-Spider+Man [2001],8.4
Dreamcast-Action-Star Wars: Episode I: Jedi Power Battles,6.8
Dreamcast-Action-Starlancer,8.8
Dreamcast-Action-Sword of the Berserk: Guts' Rage,8
Dreamcast-Action-Tomb Raider: The Last Revelation,3
Dreamcast-Action-Toy Story 2: Buzz Lightyear to the Rescue,6
Dreamcast-Action-Treasure Strike,5.9
Dreamcast-Action-Twinkle Star Sprites,5.8
Dreamcast-Action-Vigilante 8: Second Offense,8.6
Dreamcast-Action-Virtua Athlete 2K,4
Dreamcast-Action-Virtua Cop 2,5.2
Dreamcast-Action-Virtual+On: Oratorio Tangram,8
Dreamcast-Action-Wild Metal,8.3
Dreamcast-Action-Zero Gunner 2,8.3
Dreamcast-Action-Zombie Revenge,5.9
Dreamcast-"Action, Adventure"-Armada [1999],9.1
Dreamcast-"Action, Adventure"-Napple Tale: Arsia in Daydream,9.3
Dreamcast-"Action, Adventure"-Rent A Hero No. 1,8.4
Dreamcast-"Action, Adventure"-Resident Evil ++ CODE: Veronica,9.2
Dreamcast-"Action, Adventure"-Resident Evil 2,8.5
Dreamcast-"Action, Adventure"-Resident Evil 3: Nemesis,8
Dreamcast-"Action, Adventure"-Tomb Raider Chronicles,5.8
Dreamcast-"Action, Adventure"-Undercover A.D. 2025 Kei,2.5
Dreamcast-"Action, Adventure"-Urban Chaos,6.8
Dreamcast-"Action, Compilation"-Atari Anniversary Edition,7.5
Dreamcast-"Action, Compilation"-SEGA Smash Pack Volume 1,8
Dreamcast-"Action, RPG"-Shenmue,9.7
Dreamcast-"Action, RPG"-Shenmue (Limited Edition),9.2
Dreamcast-Adventure-102 Dalmatians: Puppies to the Rescue,7
Dreamcast-Adventure-Alone in the Dark: The New Nightmare,7.3
Dreamcast-Adventure-D2,6.2
Dreamcast-Adventure-Dino Crisis,7.2
Dreamcast-Adventure-Evil Dead: Hail to the King,3.6
Dreamcast-Adventure-Fighting Force 2,3.6
Dreamcast-Adventure-Floigan Brothers,8.4
Dreamcast-Adventure-Illbleed,6.7
Dreamcast-Adventure-Omikron: the Nomad Soul,6.7
Dreamcast-Adventure-Stupid Invaders,7
Dreamcast-Adventure-The Ring: Terror's Realm,5.4
Dreamcast-Casino-Caesars Palace 2000,2.5
Dreamcast-Compilation-Midway's Greatest Arcade Hits Volume I,7.5
Dreamcast-"Educational, Action"-The Typing of the Dead,9
Dreamcast-Fighting-Capcom vs. SNK: Millennium Fight 2000,8.8
Dreamcast-Fighting-Dead or Alive 2,9.4
Dreamcast-Fighting-Fatal Fury: Mark of The Wolves,9
Dreamcast-Fighting-Fighting Vipers 2,6.5
Dreamcast-Fighting-Guilty Gear X,8.7
Dreamcast-Fighting-JoJo's Bizarre Adventure,8.5
Dreamcast-Fighting-Last Blade 2: Final Edition,8.9
Dreamcast-Fighting-Last Blade 2: Heart of the Samurai,8.7
Dreamcast-Fighting-Marvel vs. Capcom 2: New Age of Heroes,9.3
Dreamcast-Fighting-Marvel vs. Capcom: Clash of Super Heroes,8.8
Dreamcast-Fighting-Mortal Kombat Gold,6.3
Dreamcast-Fighting-Plasma Sword: Nightmare of Bilstein,6.8
Dreamcast-Fighting-Project Justice,8.8
Dreamcast-Fighting-Psychic Force 2012,6.9
Dreamcast-Fighting-Soul Fighter,2.5
Dreamcast-Fighting-Soulcalibur,10
