game current
Dota_2 572795
Counter-Strike:_Global_Offensive 194894
Team_Fortress_2 35335
Stellaris 28920
Football_Manager_2016 24932
ARK:_Survival_Evolved 21237
Sid_Meier's_Civilization_V 19306
DARK_SOULS_III 19285
Grand_Theft_Auto_V 18116
Rust 17475
Warframe 16829
Garry's_Mod 13733
Fallout_4 12961
The_Elder_Scrolls_V:_Skyrim 12248
Clicker_Heroes 9956
Arma_3 9906
Counter-Strike 9436
Rocket_League 9431
Unturned 8513
Knight_Online 8145
Terraria 7138
Left_4_Dead_2 7127
Stardew_Valley 6955
War_Thunder 6613
Tom_Clancy's_The_Division 6316
AdVenture_Capitalist 6261
Football_Manager_2015 5672
H1Z1:_King_of_the_Kill 5167
Don't_Starve_Together 4779
Euro_Truck_Simulator_2 4700
Total_War:_ROME_II_-_Emperor_Edition 4361
PAYDAY_2 4336
Counter-Strike:_Source 4314
DayZ 4177
Path_of_Exile 3954
Robocraft 3951
The_Binding_of_Isaac:_Rebirth 3807
Factorio 3802
Call_of_Duty:_Black_Ops_III 3692
Europa_Universalis_IV 3640
7_Days_to_Die 3530
Trove 3476
Mount_&_Blade:_Warband 3215
Tom_Clancy's_Rainbow_Six_Siege 3190
The_Witcher_3:_Wild_Hunt 3132
Total_War:_ATTILA 2898
NBA_2K16 2892
Cities:_Skylines 2797
Heroes_&_Generals 2794
Borderlands_2 2770
Company_of_Heroes_2 2763
Battleborn 2672
Shakes_and_Fidget 2631
Dark_Souls:_Prepare_to_Die_Edition 2610
Magic_Duels 2502
Age_of_Empires_II:_HD_Edition 2369
FINAL_FANTASY_XIV:_A_Realm_Reborn 2121
Grim_Dawn 2110
Marvel_Heroes_2016 2103
Don't_Starve 2095
Football_Manager_2014 2023
H1Z1:_Just_Survive 1997
XCOM_2 1970
Kerbal_Space_Program 1961
Arma_2:_Operation_Arrowhead 1955
Farming_Simulator_15 1927
Elite_Dangerous 1820
Total_War:_SHOGUN_2 1785
Dead_Island 1774
Crusader_Kings_II 1774
Hurtworld 1750
Empire:_Total_War 1745
Space_Engineers 1725
Counter-Strike_Nexon:_Zombies 1706
EVGA_PrecisionX_16 1696
Enter_the_Gungeon 1556
Medieval_II:_Total_War 1504
Tree_of_Savior_(English_Ver.) 1479
Warface 1434
Crusaders_of_the_Lost_Idols 1413
TERA 1384
Rise_of_the_Tomb_Raider 1368
EVE_Online 1360
Microsoft_Flight_Simulator_X:_Steam_Edition 1349
Subnautica 1323
Dirty_Bomb 1318
SMITE 1291
DARK_SOULS™_II:_Scholar_of_the_First_Sin 1289
Brawlhalla 1282
VEGA_Conflict 1266
American_Truck_Simulator 1252
PlanetSide_2 1247
Pro_Evolution_Soccer_2016 1247
Undertale 1235
Neverwinter 1229
FreeStyle2:_Street_Basketball 1208
Call_of_Duty:_Black_Ops_II_-_Multiplayer 1180
NOBUNAGA'S_AMBITION:_Souzou_SengokuRisshiden 1168
Pro_Evolution_Soccer_2016_myClub 1130
